n_stations,covered_regions,coverage_region_pct,covered_demand,coverage_demand_pct,avg_distance,total_cost,benefit_per_cost
2,11,52.38095238095239,56622989,81.43223806906312,4.940754166971111,4,14155747.25
3,13,61.904761904761905,61242565,88.0758720285867,4.862152968794994,6,10207094.166666666
4,15,71.42857142857143,64862684,93.28213890803983,4.661679441418681,8,8107835.5
5,16,76.19047619047619,66371371,95.4518540913146,3.7326400216014872,10,6637137.1
7,18,85.71428571428571,68437421,98.42313975520966,2.466968143877533,14,4888387.214285715
10,21,100.0,69533873,100.0,1.1547215708460137,20,3476693.65
