행정구역,조치원읍,도담동,어진동,한솔동,아름동,고운동,대평동,종촌동,반곡동,연기면,나성동,금남면,보람동,장군면,다정동,연서면,전의면,부강면,전동면,연동면,소정면,가람동,반포면
조치원읍,0.0,14.21980991771302,13.015040681568783,11.900833690317185,13.844933493515812,13.181809380021756,12.65817756193045,14.56169636940952,8.678314362047868,6.885158457250929,11.725038693974035,16.407674136009128,13.556522846775728,13.038910754973593,10.419578225248591,4.38950230552776,11.485535767182835,11.24716885763851,6.5845838253336195,6.332303518732812,16.761796445477653,11.303983675679849,14.202693524304678
도담동,14.21980991771302,0.0,1.2453386208757082,5.48523872425188,3.2456280543302585,4.212443862222367,1.9942382138853947,2.294500626483211,5.5416489313233805,7.519261478049952,2.857443054309708,4.312017124313487,0.840758764628333,5.122174476621571,4.180974997279845,10.986762667177317,21.846692844113488,11.907122376499007,19.240451328758564,10.824130867372636,27.22768738441447,4.187783334757705,4.323989690657554
어진동,13.015040681568783,1.2453386208757082,0.0,4.608969013716911,2.8965052294657334,3.6092135313041442,1.5259535332491503,2.4132355531223735,4.341656933334148,6.389475027673839,2.069843643342908,4.6763739401140665,0.967703561216208,5.064914305428108,3.2384636607886605,9.900612156758053,20.94109605761772,10.924528306533857,18.159221698085904,9.60397749193983,26.36468424044338,3.588831463664858,4.005170920222877
한솔동,11.900833690317185,5.48523872425188,4.608969013716911,0.0,2.7730855164387322,1.6668420013324328,5.848022146007762,3.9930316437344593,5.017865640186772,7.035624232792315,5.76106724389957,4.915934401847034,5.568551488735953,9.225821329983932,5.995473795353903,10.288780066957559,21.835233611469334,6.452145378428692,18.04311817764633,6.632404683376558,27.362141753133315,7.125110465345741,2.5206911481856222
아름동,13.844933493515812,3.2456280543302585,2.8965052294657334,2.7730855164387322,0.0,1.1441544428742811,4.4166278518418025,1.253472416206796,5.7301982117915715,7.957852598204355,4.784160931630939,2.570912549774731,3.6650560070235456,7.961390787909251,5.624611985370538,11.480920646532073,22.90308076632692,9.127302211669056,19.602156509555414,9.185640926922844,28.397843076751723,6.332670330327863,1.1129369843467578
고운동,13.181809380021756,4.212443862222367,3.6092135313041442,1.6668420013324328,1.1441544428742811,0.0,5.055738465959234,2.395700921980274,5.4958686422960925,7.685891691941121,5.234969419336373,3.327290202416325,4.493036982914593,8.589706929965065,5.839913158521375,11.131838661827905,22.6437011289766,7.983533528019118,19.123794019181325,8.222671857589035,28.159361411779646,6.742854263804294,1.024335090982785
대평동,12.65817756193045,1.9942382138853947,1.5259535332491503,5.848022146007762,4.4166278518418025,5.055738465959234,0.0,3.887501144931605,4.105476173908991,5.815387391400336,0.9519884843324282,6.110134744411144,1.1536909345550468,3.5503939506121047,2.313518592650875,9.17203806633783,19.872155108516257,11.932419071387592,17.394556042343538,10.002665826129565,25.240745536694025,2.2009167715290356,5.520815965420127
종촌동,14.56169636940952,2.294500626483211,2.4132355531223735,3.9930316437344593,1.253472416206796,2.395700921980274,3.887501144931605,0.0,6.13271381457904,8.33374508422789,4.476306793636553,2.2748185487964925,2.9149427127538847,7.32404424613018,5.551193631673882,11.885756421132808,23.151600517790424,10.379048930402146,20.098296890629687,10.234273110823334,28.611360863086716,6.002057329972791,2.1510505910805318
반곡동,8.678314362047868,5.5416489313233805,4.341656933334148,5.017865640186772,5.7301982117915715,5.4958686422960925,4.105476173908991,6.13271381457904,0.0,2.2279439318500507,3.2480684797878037,8.241111774993229,4.898360148407366,5.871935325234519,2.23241546302278,5.766590678391699,17.18324154801958,9.335237234304325,13.96604857568554,6.224646584511356,22.688058429925242,3.5470012889798843,6.454125934321459
연기면,6.885158457250929,7.519261478049952,6.389475027673839,7.035624232792315,7.957852598204355,7.685891691941121,5.815387391400336,8.33374508422789,2.2279439318500507,0.0,4.869407307327601,10.46575297276777,6.789001308764883,6.439545068357411,3.5403672090886427,3.552068313701117,14.96529911309416,10.277383264459544,11.788938138757267,6.182055593543936,20.476000676788725,4.461868426609155,8.661386081900895
나성동,11.725038693974035,2.857443054309708,2.069843643342908,5.76106724389957,4.784160931630939,5.234969419336373,0.9519884843324282,4.476306793636553,3.2480684797878037,4.869407307327601,0.0,6.744968706764515,2.037003592838302,3.4663657552386407,1.3627755852437444,8.221740968417764,18.991176976587884,11.5673789014162,16.449540906055628,9.300333003463306,24.38203739441047,1.5503705127226686,5.84767524616896
금남면,16.407674136009128,4.312017124313487,4.6763739401140665,4.915934401847034,2.570912549774731,3.327290202416325,6.110134744411144,2.2748185487964925,8.241111774993229,10.46575297276777,6.744968706764515,0.0,5.058360679734955,9.434136765996351,7.821118626641644,14.006666063548199,25.36188602126609,10.681457584283656,22.159959449537972,11.537222926216916,30.83684520282846,8.259912036271674,2.396959996227568
보람동,13.556522846775728,0.840758764628333,0.967703561216208,5.568551488735953,3.6650560070235456,4.493036982914593,1.1536909345550468,2.9149427127538847,4.898360148407366,6.789001308764883,2.037003592838302,5.058360679734955,0.0,4.409823875595698,3.3807802861502836,10.219486500495764,21.015905862859082,11.891379344148179,18.46396734160875,10.452339514018291,26.391213890155615,3.3481003107745817,4.775421391945444
장군면,13.038910754973593,5.122174476621571,5.064914305428108,9.225821329983932,7.961390787909251,8.589706929965065,3.5503939506121047,7.32404424613018,5.871935325234519,6.439545068357411,3.4663657552386407,9.434136765996351,4.409823875595698,0.0,3.7008748908734006,8.874640902840838,18.09765238556293,14.90786077573599,16.54934692745553,12.074145832257903,23.229877957929595,2.3484423272830113,9.068778287221082
다정동,10.419578225248591,4.180974997279845,3.2384636607886605,5.995473795353903,5.624611985370538,5.839913158521375,2.313518592650875,5.551193631673882,2.23241546302278,3.5403672090886427,1.3627755852437444,7.821118626641644,3.3807802861502836,3.7008748908734006,0.0,6.858976538490693,17.708107837319005,11.254865672006797,15.08925407628521,8.453724634541853,23.12634430297495,1.3524420250606781,6.60457538940673
연서면,4.38950230552776,10.986762667177317,9.900612156758053,10.288780066957559,11.480920646532073,11.131838661827905,9.17203806633783,11.885756421132808,5.766590678391699,3.552068313701117,8.221740968417764,14.006666063548199,10.219486500495764,8.874640902840838,6.858976538490693,0.0,11.547758540827703,12.103468593523054,8.258901821576684,7.196272029416764,17.07425390481862,7.4435966701204155,12.13001924534716
