행정구역,승차,하차,환승,총_이용객,위도,경도,건물수,최단거리_km,서비스부족,커버_수요,우선순위
금남면,536774,434594,62821,971368,36.45470547400584,127.29228850731104,6532,0.7515577754232684,True,971368,1
반곡동,1249260,1167804,108292,2417064,36.526619221838565,127.2699922070016,117,0.573565671489161,True,2417064,2
소정면,47128,28254,568,75382,36.71294139639835,127.1663786974725,1911,1.0378031203569063,True,75382,3
장군면,459863,295922,34038,755785,36.50685844696168,127.20905905955792,5883,0.5303252957585509,True,755785,4
전동면,160918,131491,5934,292409,36.65146674858409,127.25289848721694,4932,0.8569260712329221,True,292409,5
