위도,경도,수요,환승,행정구역,최단정류장거리_km,커버여부
36.34392,127.099684,0.0,0.0,도담동,14.298121151512712,False
36.34392,127.10468399999999,0.0,0.0,도담동,13.997361276456779,False
36.34392,127.10968399999999,0.0,0.0,도담동,13.704619018236864,False
36.34392,127.11468399999998,0.0,0.0,도담동,13.420419057506901,False
36.34392,127.11968399999998,0.0,0.0,도담동,13.14531545671626,False
36.34392,127.12468399999997,0.0,0.0,도담동,12.879891101522459,False
36.34392,127.12968399999997,0.0,0.0,도담동,12.624756500190134,False
36.34392,127.13468399999996,0.0,0.0,도담동,12.380547814215396,False
36.34392,127.13968399999996,0.0,0.0,도담동,12.147923990395073,False
36.34392,127.14468399999996,0.0,0.0,도담동,11.927562868975285,False
36.34392,127.14968399999995,0.0,0.0,도담동,11.720156157029244,False
36.34392,127.15468399999995,0.0,0.0,도담동,11.526403183341339,False
36.34392,127.15968399999994,0.0,0.0,금남면,11.347003393178493,False
36.34392,127.16468399999994,0.0,0.0,금남면,11.182647599550789,False
36.34392,127.16968399999993,0.0,0.0,금남면,11.034008081730198,False
36.34392,127.17468399999993,0.0,0.0,금남면,10.901727709380186,False
36.34392,127.17968399999992,0.0,0.0,금남면,10.786408366498847,False
36.34392,127.18468399999992,0.0,0.0,금남면,10.688599045366862,False
36.34392,127.18968399999991,0.0,0.0,금남면,10.60878406634434,False
36.34392,127.19468399999991,0.0,0.0,금남면,10.547371942552573,False
36.34392,127.1996839999999,0.0,0.0,금남면,10.50468543749764,False
36.34392,127.2046839999999,0.0,0.0,금남면,10.480953349166782,False
36.34392,127.2096839999999,0.0,0.0,금남면,10.476304491364887,False
36.34392,127.21468399999989,0.0,0.0,금남면,10.417176523459005,False
36.34392,127.21968399999989,0.0,0.0,금남면,10.034249422260649,False
36.34392,127.22468399999988,0.0,0.0,금남면,9.65689401020739,False
36.34392,127.22968399999988,0.0,0.0,금남면,9.285789579220513,False
36.34392,127.23468399999987,0.0,0.0,금남면,8.92171620499287,False
36.34392,127.23968399999987,0.0,0.0,금남면,8.565570485424914,False
36.34392,127.24468399999986,0.0,0.0,금남면,8.218383126946973,False
36.34392,127.24968399999986,0.0,0.0,금남면,7.881338116052915,False
36.34392,127.25468399999986,0.0,0.0,금남면,7.555792849866756,False
36.34392,127.25968399999985,0.0,0.0,금남면,7.243298040700312,False
36.34392,127.26468399999985,0.0,0.0,금남면,6.94561539828047,False
36.34392,127.26968399999984,0.0,0.0,금남면,6.66472999188154,False
36.34392,127.27468399999984,0.0,0.0,금남면,6.40285282731168,False
36.34392,127.27968399999983,0.0,0.0,금남면,6.162407699964158,False
36.34392,127.28468399999983,0.0,0.0,금남면,5.94417587368937,False
36.34392,127.28968399999982,0.0,0.0,금남면,5.752565817631108,False
36.34392,127.29468399999982,0.0,0.0,금남면,5.590317228445953,False
36.34392,127.29968399999981,0.0,0.0,금남면,5.460048214781292,False
36.34392,127.30468399999981,0.0,0.0,금남면,5.364089192888441,False
36.34392,127.3096839999998,0.0,0.0,금남면,5.3043025745162256,False
36.34392,127.3146839999998,0.0,0.0,금남면,5.281916821355189,False
36.34392,127.3196839999998,0.0,0.0,금남면,5.2974060998739345,False
36.34392,127.32468399999979,0.0,0.0,금남면,5.350441480792251,False
36.34392,127.32968399999979,0.0,0.0,금남면,5.4399249317803475,False
36.34392,127.33468399999978,0.0,0.0,금남면,5.564098224911675,False
36.34392,127.33968399999978,0.0,0.0,금남면,5.720702877698084,False
36.34392,127.34468399999977,0.0,0.0,금남면,5.907160090431528,False
36.34392,127.34968399999977,0.0,0.0,금남면,6.120742259554589,False
36.34392,127.35468399999976,0.0,0.0,금남면,6.3587166810435685,False
36.34392,127.35968399999976,0.0,0.0,금남면,6.618452718851732,False
36.34392,127.36468399999976,0.0,0.0,금남면,6.89749240554526,False
36.34392,127.36968399999975,0.0,0.0,금남면,7.193589722684981,False
36.34392,127.37468399999975,0.0,0.0,금남면,7.5047259258281525,False
36.34392,127.37968399999974,0.0,0.0,금남면,7.829108240579994,False
36.34392,127.38468399999974,0.0,0.0,금남면,8.165158109174126,False
36.34392,127.38968399999973,0.0,0.0,금남면,8.511493671657416,False
36.34392,127.39468399999973,0.0,0.0,금남면,8.866909752095651,False
36.34392,127.39968399999972,0.0,0.0,금남면,9.230357469714138,False
36.34392,127.40468399999972,0.0,0.0,금남면,9.600924742218746,False
36.34392,127.40968399999971,0.0,0.0,금남면,9.97781835844924,False
36.34392,127.41468399999971,0.0,0.0,금남면,10.36034791232417,False
36.34392,127.4196839999997,0.0,0.0,금남면,10.747911652756503,False
36.34392,127.4246839999997,0.0,0.0,금남면,10.976607767425236,False
36.34392,127.4296839999997,0.0,0.0,금남면,11.125827936652763,False
36.34392,127.43468399999969,0.0,0.0,금남면,11.290827466888608,False
36.34392,127.43968399999969,0.0,0.0,금남면,11.470925459747912,False
36.34392,127.44468399999968,0.0,0.0,금남면,11.665422637572803,False
36.34392,127.44968399999968,0.0,0.0,금남면,11.846956584222218,False
36.34392,127.45468399999967,0.0,0.0,금남면,11.924110555032916,False
36.34392,127.45968399999967,0.0,0.0,금남면,12.017445377540108,False
36.34392,127.46468399999966,0.0,0.0,금남면,12.126587439300172,False
36.34392,127.46968399999966,0.0,0.0,금남면,12.25111427928346,False
36.34392,127.47468399999966,0.0,0.0,금남면,12.3905620484812,False
36.34892,127.099684,0.0,0.0,도담동,13.89571420535276,False
36.34892,127.10468399999999,0.0,0.0,도담동,13.586069128111468,False
36.34892,127.10968399999999,0.0,0.0,도담동,13.2842860244772,False
36.34892,127.11468399999998,0.0,0.0,도담동,12.990912815402533,False
36.34892,127.11968399999998,0.0,0.0,도담동,12.706532027517975,False
36.34892,127.12468399999997,0.0,0.0,도담동,12.431760791077144,False
36.34892,127.12968399999997,0.0,0.0,도담동,12.167250157557236,False
36.34892,127.13468399999996,0.0,0.0,도담동,11.913683572842812,False
36.34892,127.13968399999996,0.0,0.0,도담동,11.671774330182423,False
36.34892,127.14468399999996,0.0,0.0,도담동,11.442261823365902,False
36.34892,127.14968399999995,0.0,0.0,도담동,11.225906428762496,False
36.34892,127.15468399999995,0.0,0.0,도담동,11.023482869151506,False
36.34892,127.15968399999994,0.0,0.0,도담동,10.835771956993552,False
36.34892,127.16468399999994,0.0,0.0,금남면,10.663550683088868,False
36.34892,127.16968399999993,0.0,0.0,금남면,10.507580709988884,False
36.34892,127.17468399999993,0.0,0.0,금남면,10.36859544640272,False
36.34892,127.17968399999992,0.0,0.0,금남면,10.247286013442766,False
36.34892,127.18468399999992,0.0,0.0,금남면,10.144286555201637,False
36.34892,127.18968399999991,0.0,0.0,금남면,10.060159479602145,False
36.34892,127.19468399999991,0.0,0.0,금남면,9.995381321831061,False
36.34892,127.1996839999999,0.0,0.0,금남면,9.950329982411253,False
36.34892,127.2046839999999,0.0,0.0,금남면,9.925274088286825,False
36.34892,127.2096839999999,0.0,0.0,금남면,9.920365148339384,False
36.34892,127.21468399999989,0.0,0.0,금남면,9.933357105183966,False
36.34892,127.21968399999989,0.0,0.0,금남면,9.751998867941385,False
36.34892,127.22468399999988,0.0,0.0,금남면,9.363300682263864,False
36.34892,127.22968399999988,0.0,0.0,금남면,8.980096736332435,False
36.34892,127.23468399999987,0.0,0.0,금남면,8.603121242973337,False
36.34892,127.23968399999987,0.0,0.0,금남면,8.233229795560337,False
36.34892,127.24468399999986,0.0,0.0,금남면,7.871421132564057,False
36.34892,127.24968399999986,0.0,0.0,금남면,7.518862179606938,False
36.34892,127.25468399999986,0.0,0.0,금남면,7.176916215915852,False
36.34892,127.25968399999985,0.0,0.0,금남면,6.84717345644994,False
36.34892,127.26468399999985,0.0,0.0,금남면,6.531482404904002,False
36.34892,127.26968399999984,0.0,0.0,금남면,6.231978864709405,False
36.34892,127.27468399999984,0.0,0.0,금남면,5.95110736307052,False
36.34892,127.27968399999983,0.0,0.0,금남면,5.6916269417941106,False
36.34892,127.28468399999983,0.0,0.0,금남면,5.456079993223978,False
36.34892,127.28968399999982,0.0,0.0,금남면,5.246688433840501,False
36.34892,127.29468399999982,0.0,0.0,금남면,5.0682828416626595,False
36.34892,127.29968399999981,0.0,0.0,금남면,4.924232246887714,False
36.34892,127.30468399999981,0.0,0.0,금남면,4.817619360248428,False
36.34892,127.3096839999998,0.0,0.0,금남면,4.750965186436168,False
36.34892,127.3146839999998,0.0,0.0,금남면,4.725960741527665,False
36.34892,127.3196839999998,0.0,0.0,금남면,4.743264749523264,False
36.34892,127.32468399999979,0.0,0.0,금남면,4.802419896585382,False
36.34892,127.32968399999979,0.0,0.0,금남면,4.901911266648571,False
36.34892,127.33468399999978,0.0,0.0,금남면,5.0393503639274355,False
36.34892,127.33968399999978,0.0,0.0,금남면,5.211735884752636,False
36.34892,127.34468399999977,0.0,0.0,금남면,5.415731768410632,False
36.34892,127.34968399999977,0.0,0.0,금남면,5.647913867035973,False
36.34892,127.35468399999976,0.0,0.0,금남면,5.904958281971231,False
36.34892,127.35968399999976,0.0,0.0,금남면,6.183765387407403,False
36.34892,127.36468399999976,0.0,0.0,금남면,6.481527382065354,False
36.34892,127.36968399999975,0.0,0.0,금남면,6.795753145576788,False
36.34892,127.37468399999975,0.0,0.0,금남면,7.124264536693368,False
36.34892,127.37968399999974,0.0,0.0,금남면,7.465175839302145,False
36.34892,127.38468399999974,0.0,0.0,금남면,7.816864855623972,False
36.34892,127.38968399999973,0.0,0.0,금남면,8.177941229462085,False
36.34892,127.39468399999973,0.0,0.0,금남면,8.547215338376255,False
36.34892,127.39968399999972,0.0,0.0,금남면,8.923669537733065,False
36.34892,127.40468399999972,0.0,0.0,금남면,9.306432542558676,False
36.34892,127.40968399999971,0.0,0.0,금남면,9.694757138445489,False
36.34892,127.41468399999971,0.0,0.0,금남면,10.088001086028603,False
36.34892,127.4196839999997,0.0,0.0,금남면,10.31086972295072,False
36.34892,127.4246839999997,0.0,0.0,금남면,10.450424346922693,False
36.34892,127.4296839999997,0.0,0.0,금남면,10.607039469137261,False
36.34892,127.43468399999969,0.0,0.0,금남면,10.779971532525659,False
36.34892,127.43968399999969,0.0,0.0,금남면,10.96844878948255,False
36.34892,127.44468399999968,0.0,0.0,금남면,11.17168447930755,False
36.34892,127.44968399999968,0.0,0.0,금남면,11.297936229543202,False
36.34892,127.45468399999967,0.0,0.0,금남면,11.378808259537221,False
36.34892,127.45968399999967,0.0,0.0,금남면,11.476572427375913,False
36.34892,127.46468399999966,0.0,0.0,금남면,11.590801303676571,False
36.34892,127.46968399999966,0.0,0.0,금남면,11.721013520244162,False
36.34892,127.47468399999966,0.0,0.0,금남면,11.866682936440315,False
36.35392,127.099684,0.0,0.0,도담동,13.504210202590555,False
