,조치원읍,도담동,어진동,한솔동,아름동,고운동,대평동,종촌동,반곡동,연기면,나성동,금남면,보람동,장군면,다정동,연서면,부강면,전동면,연동면,소정면,가람동
조치원읍,0.0,10.523207242913381,8.801158536636711,9.099258694020216,9.025921642829129,10.022224958275347,8.554934669421122,8.15798608037325,11.809216550439375,3.3332859569072393,8.829432386289303,18.136389415551854,9.666076753636176,13.151443017342194,11.101871905707206,10.66520962150796,23.222016242673437,11.328400591910192,7.213630993422661,3.6815396198442722,10.324447429255327
도담동,10.523207242913381,0.0,1.9303901158354348,1.5467885126112992,1.502866638090488,0.9932781586082639,2.3630083092350302,2.4601529797495862,1.7119275143279669,11.516568137157329,1.8930320673987306,9.98685869606911,1.5094330106981322,21.821737268574683,1.114801679114557,12.817510587411027,17.58885682715328,16.74173215375473,16.74260415416885,13.014390892166828,0.4389173503076953
어진동,8.801158536636711,1.9303901158354348,0.0,1.394890716209126,0.725355187069249,2.0399492399752575,0.4781763180409312,1.5278537131744867,3.587674335259364,9.607420285618094,1.5708749048117494,10.493111007937912,2.1511006357688736,20.63523223070344,2.9001279889078617,11.166560030352839,17.50600281416897,16.059463474499353,15.319142569197222,11.126187722400651,1.9525020680488256
한솔동,9.099258694020216,1.5467885126112992,1.394890716209126,0.0,0.6836667628243462,0.9461450914949004,1.8409886285089572,0.9463118836540875,2.740968756946516,10.339812395149242,0.35646296967317115,11.296799956070766,0.8087838076203745,20.279808360041876,2.020168613370517,12.495176920447658,18.622039854102624,15.302606588781565,15.203542119319314,11.773726340579616,1.2474340761075553
아름동,9.025921642829129,1.502866638090488,0.725355187069249,0.6836667628243462,0.0,1.3564289228027828,1.1915812032048936,1.1410054973237616,3.0244261183808487,10.051680829919167,0.9225129304371081,10.811182652433962,1.4261804459443617,20.53727895085538,2.31089876799169,11.879600408714788,18.016613010338435,15.742359033619081,15.34292795961135,11.531181125828631,1.3881012346746595
고운동,10.022224958275347,0.9932781586082639,2.0399492399752575,0.9461450914949004,1.3564289228027828,0.0,2.5180948761107995,1.8666441695787925,1.7975334535416931,11.28265123118369,1.1934442359878263,10.979762884898248,0.5289031271445805,20.98297867637724,1.08075798270497,13.200239798232191,18.554674332213644,15.787061900586409,16.012467296851927,12.71980753144652,0.556951276091447
대평동,8.554934669421122,2.3630083092350302,0.4781763180409312,1.8409886285089572,1.1915812032048936,2.5180948761107995,0.0,1.8035284839123977,4.043436731774026,9.23215076281727,1.9761556250561596,10.439589710825743,2.6160887844396075,20.576154606945842,3.3647699853372837,10.690773801798075,17.291225116878994,16.15407574238686,15.185901502913845,10.770318463116952,2.417343886984111
종촌동,8.15798608037325,2.4601529797495862,1.5278537131744867,0.9463118836540875,1.1410054973237616,1.8666441695787925,1.8035284839123977,0.0,3.661813999407989,9.4827885958399,0.6828897106159856,11.936690702093252,1.5725993704149677,19.418663291598254,2.9474008812644623,12.082847783150182,19.03372781031407,14.610341769404247,14.283900533003917,10.887116929789222,2.1908435486686084
반곡동,11.809216550439375,1.7119275143279669,3.587674335259364,2.740968756946516,3.0244261183808487,1.7975334535416931,4.043436731774026,3.661813999407989,0.0,13.056869218301268,2.983054883482262,10.421167658870255,2.15582970310817,22.466096108084905,0.7233687479260585,14.510876585474522,18.391323085606256,16.944787290141168,17.657980181499607,14.508714346776669,1.6436628462672116
연기면,3.3332859569072393,11.516568137157329,9.607420285618094,10.339812395149242,10.051680829919167,11.28265123118369,9.23215076281727,9.4827885958399,13.056869218301268,0.0,10.157667120706078,17.385165951833734,11.054516242592387,15.393292600346571,12.334282756464544,7.752811412683831,21.38361379802017,14.523692273546706,9.354201964056006,1.6570208513833382,11.438072486824879
나성동,8.829432386289303,1.8930320673987306,1.5708749048117494,0.35646296967317115,0.9225129304371081,1.1934442359878263,1.9761556250561596,0.6828897106159856,2.983054883482262,10.157667120706078,0.0,11.641896778887316,0.8987499133660707,19.92945525722977,2.2724439383813357,12.541539511521375,18.92831735219704,14.949099897035188,14.871891447119863,11.568335154712411,1.5699105367444144
금남면,18.136389415551854,9.98685869606911,10.493111007937912,11.296799956070766,10.811182652433962,10.979762884898248,10.439589710825743,11.936690702093252,10.421167658870255,17.385165951833734,11.641896778887316,0.0,11.493477282047063,30.874919802835684,10.539672964598902,13.444567174138719,8.402924670475269,26.544715803493123,25.233008670984226,19.03347315622295,10.423232014800087
보람동,9.666076753636176,1.5094330106981322,2.1511006357688736,0.8087838076203745,1.4261804459443617,0.5289031271445805,2.6160887844396075,1.5725993704149677,2.15582970310817,11.054516242592387,0.8987499133660707,11.493477282047063,0.0,20.479227785417326,1.48107878486075,13.293965511274013,19.020167792817805,15.258230721611643,15.548753603957515,12.457954881826428,1.0799891105923858
장군면,13.151443017342194,21.821737268574683,20.63523223070344,20.279808360041876,20.53727895085538,20.98297867637724,20.576154606945842,19.418663291598254,22.466096108084905,15.393292600346571,19.92945525722977,30.874919802835684,20.479227785417326,0.0,21.909295510004537,23.091635127319826,36.37344034196582,7.3876750067365995,6.045017057767442,14.280235681922012,21.469760157903945
다정동,11.101871905707206,1.114801679114557,2.9001279889078617,2.020168613370517,2.31089876799169,1.08075798270497,3.3647699853372837,2.9474008812644623,0.7233687479260585,12.334282756464544,2.2724439383813357,10.539672964598902,1.48107878486075,21.909295510004537,0.0,13.922311200958704,18.360589825990402,16.525056260333027,17.02591296549921,13.7854082611257,0.947758394010934
연서면,10.66520962150796,12.817510587411027,11.166560030352839,12.495176920447658,11.879600408714788,13.200239798232191,10.690773801798075,12.082847783150182,14.510876585474522,7.752811412683831,12.541539511521375,13.444567174138719,13.293965511274013,23.091635127319826,13.922311200958704,0.0,14.772529352497083,21.967365204450804,17.07490547323895,8.833197262428655,13.01104765490843
부강면,23.222016242673437,17.58885682715328,17.50600281416897,18.622039854102624,18.016613010338435,18.554674332213644,17.291225116878994,19.03372781031407,18.391323085606256,21.38361379802017,18.92831735219704,8.402924670475269,19.020167792817805,36.37344034196582,18.360589825990402,14.772529352497083,0.0,33.20545302994903,30.399706973464216,22.85671935527406,18.022241247960764
전동면,11.328400591910192,16.74173215375473,16.059463474499353,15.302606588781565,15.742359033619081,15.787061900586409,16.15407574238686,14.610341769404247,16.944787290141168,14.523692273546706,14.949099897035188,26.544715803493123,15.258230721611643,7.3876750067365995,16.525056260333027,21.967365204450804,33.20545302994903,0.0,7.523777812250458,14.153258587486082,16.33053680540476
연동면,7.213630993422661,16.74260415416885,15.319142569197222,15.203542119319314,15.34292795961135,16.012467296851927,15.185901502913845,14.283900533003917,17.657980181499607,9.354201964056006,14.871891447119863,25.233008670984226,15.548753603957515,6.045017057767442,17.02591296549921,17.07490547323895,30.399706973464216,7.523777812250458,0.0,8.306977381529638,16.441739776859567
소정면,3.6815396198442722,13.014390892166828,11.126187722400651,11.773726340579616,11.531181125828631,12.71980753144652,10.770318463116952,10.887116929789222,14.508714346776669,1.6570208513833382,11.568335154712411,19.03347315622295,12.457954881826428,14.280235681922012,13.7854082611257,8.833197262428655,22.85671935527406,14.153258587486082,8.306977381529638,0.0,12.910028767088992
가람동,10.324447429255327,0.4389173503076953,1.9525020680488256,1.2474340761075553,1.3881012346746595,0.556951276091447,2.417343886984111,2.1908435486686084,1.6436628462672116,11.438072486824879,1.5699105367444144,10.423232014800087,1.0799891105923858,21.469760157903945,0.947758394010934,13.01104765490843,18.022241247960764,16.33053680540476,16.441739776859567,12.910028767088992,0.0
