구분,노선번호,기점지,경유지,종점지,배차간격_분,운행횟수_일,커버지역수,추정수요,배차적정성,최적화제안,최적화우선순위
BRT,B5,세종고속시외버스터미널,고운동+아름동,세종고속시외버스터미널,17.5,54.0,2,9464480,부족,배차간격 18분 → 12분으로 소폭 단축 | 일 운행횟수 54회 → 100회 이상으로 증편,0.7
지선버스,53,장군면사무소,한솔동,장군면사무소,30.0,0.0,2,7397603,심각부족,배차간격 30분 → 8-10분으로 단축 (고수요 노선) | 일 운행횟수 0회 → 100회 이상으로 증편,0.6908087396243638
