정류소ID,정류소명,위도,경도,할당_승차,할당_하차,할당_환승,평균거리_km,할당_총수요
SJB293062003,어진중학교(가재마을9단지),36.4989327,127.2549113,0.0,0.0,0.0,0.0,0.0
SJB293063002,가재마을5단지.가온마을6단지,36.4994482,127.2466099,0.0,0.0,0.0,0.0,0.0
SJB293064144,다빛초등학교(가재마을1단지),36.4997313,127.2424127,0.0,0.0,0.0,0.0,0.0
SJB293064474,종촌초등학교(가재마을3단지),36.5038057,127.2413842,0.0,0.0,0.0,0.0,0.0
SJB293064475,가락마을8단지.가재마을4단지,36.5076286,127.2416171,0.0,0.0,0.0,0.0,0.0
SJB293064204,"고운뜰공원,대법원등기정보센터",36.511388,127.241627,0.0,0.0,0.0,0.0,0.0
SJB293064476,아름제2중(가락마을20단지),36.5166984,127.2418662,0.0,0.0,0.0,0.0,0.0
SJB293064099,"범지기마을3,9단지",36.518782,127.2444672,0.0,0.0,0.0,0.0,0.0
SJB293064101,범지기마을10단지북측,36.5189898,127.2489006,0.0,0.0,0.0,0.0,0.0
SJB293064052,세종충남대병원,36.5187208,127.2561613,0.0,0.0,0.0,0.0,0.0
SJB293064447,세종충남대학교병원(후문),36.520501,127.259685,0.0,0.0,0.0,0.0,0.0
SJB293014015,해밀리,36.5285405,127.2639687,0.0,0.0,0.0,0.0,0.0
SJB293055058,세종고속시외버스터미널,36.4689905,127.2735878,0.0,0.0,0.0,0.0,0.0
SJB293064010,첫마을3단지,36.47821,127.26117,0.0,0.0,0.0,0.0,0.0
SJB293064007,한솔중학교(첫마을7단지),36.47538,127.25558,0.0,0.0,0.0,0.0,0.0
SJB293064005,첫마을6단지,36.47542,127.25308,0.0,0.0,0.0,0.0,0.0
SJB293064002,첫마을5단지,36.4777,127.25004,0.0,0.0,0.0,0.0,0.0
SJB293064004,첫마을4단지,36.47998,127.25203,3344764.0,2910936.0,876762.0,0.2558109815680455,6255700.0
SJB293064241,"새뜸마을5,8단지",36.4825015,127.2535174,0.0,0.0,0.0,0.0,0.0
SJB293064239,새롬동커뮤니티센터,36.4858496,127.2508553,0.0,0.0,0.0,0.0,0.0
SJB293064430,"새뜸마을7,10단지",36.48844,127.250695,0.0,0.0,0.0,0.0,0.0
SJB293064237,"가온마을4,7단지",36.4912295,127.2498109,0.0,0.0,0.0,0.0,0.0
SJB293064263,다정동커뮤니티센터,36.495506,127.249035,0.0,0.0,0.0,0.0,0.0
SJB293064307,"가온마을6,9단지",36.4986116,127.2491786,0.0,0.0,0.0,0.0,0.0
SJB293064138,"가재마을5,8단지",36.5004747,127.2498627,0.0,0.0,0.0,0.0,0.0
SJB293064151,가재마을11단지,36.5043789,127.2501706,0.0,0.0,0.0,0.0,0.0
SJB293061004,범지기마을4단지,36.5083875,127.2499679,0.0,0.0,0.0,0.0,0.0
SJB293064054,"범지기마을8,12단지",36.5125038,127.2504125,0.0,0.0,0.0,0.0,0.0
SJB293064055,아름초등학교,36.5153587,127.2511516,0.0,0.0,0.0,0.0,0.0
SJB293064056,범지기마을10단지,36.5185438,127.2524761,0.0,0.0,0.0,0.0,0.0
SJB293064098,가락마을22단지,36.5201811,127.2411119,0.0,0.0,0.0,0.0,0.0
SJB293064141,고운동커뮤니티센터북측,36.5202479,127.2366049,0.0,0.0,0.0,0.0,0.0
SJB293064113,"가락마을17,18단지",36.5198521,127.2349532,0.0,0.0,0.0,0.0,0.0
SJB293064115,두루고등학교,36.5173734,127.2311308,0.0,0.0,0.0,0.0,0.0
SJB293064117,"가락마을10,13단지",36.5134794,127.2293797,0.0,0.0,0.0,0.0,0.0
SJB293064120,"가락마을9,11단지",36.5105636,127.2296299,0.0,0.0,0.0,0.0,0.0
SJB293064122,으뜸초등학교,36.5070383,127.231468,0.0,0.0,0.0,0.0,0.0
SJB293064124,고운동커뮤니티센터남측,36.5043276,127.2347772,0.0,0.0,0.0,0.0,0.0
SJB293064413,고운동(만남로),36.500435,127.235985,0.0,0.0,0.0,0.0,0.0
SJB293064012,봉안리(다름고개),36.4992393,127.2290775,0.0,0.0,0.0,0.0,0.0
SJB293017059,봉안리,36.49892,127.22398,0.0,0.0,0.0,0.0,0.0
SJB293010007,봉안리,36.49935893,127.2190046,0.0,0.0,0.0,0.0,0.0
SJB293017049,봉안리(부일가든),36.50061,127.21556,0.0,0.0,0.0,0.0,0.0
SJB293017043,대교리,36.50109,127.21121,0.0,0.0,0.0,0.0,0.0
SJB293064173,장군면복지회관,36.4991636,127.2080709,0.0,0.0,0.0,0.0,0.0
SJB293017024,장군면사무소,36.49714,127.20531,0.0,0.0,0.0,0.0,0.0
SJB293064428,장기중학교후문,36.495592,127.203518,0.0,0.0,0.0,0.0,0.0
SJB293064429,장기중학교후문,36.495617,127.203627,0.0,0.0,0.0,0.0,0.0
SJB293017023,장군면사무소,36.49684,127.20511,0.0,0.0,0.0,0.0,0.0
SJB293064174,장군면복지회관,36.4990494,127.2081953,0.0,0.0,0.0,0.0,0.0
SJB293017039,대교리,36.50069,127.21053,0.0,0.0,0.0,0.0,0.0
SJB293017054,봉안리(부일가든),36.50016,127.21592,0.0,0.0,0.0,0.0,0.0
SJB293010008,봉안리,36.49926399,127.2190617,0.0,0.0,0.0,0.0,0.0
SJB293017064,봉안리,36.4990546,127.2213088,0.0,0.0,0.0,0.0,0.0
SJB293011001,봉안리(다름고개),36.4990185,127.2291006,0.0,0.0,0.0,0.0,0.0
SJB293064412,고운동(만남로),36.501134,127.236316,0.0,0.0,0.0,0.0,0.0
SJB293064123,고운동커뮤니티센터남측,36.5042791,127.2352687,0.0,0.0,0.0,0.0,0.0
SJB293064121,으뜸초등학교,36.5071605,127.2317021,0.0,0.0,0.0,0.0,0.0
SJB293064119,"가락마을9,11단지",36.5106813,127.229892,0.0,0.0,0.0,0.0,0.0
SJB293064118,"가락마을10,13단지",36.513498,127.2296588,0.0,0.0,0.0,0.0,0.0
SJB293064116,두루고등학교,36.5172342,127.2313602,0.0,0.0,0.0,0.0,0.0
SJB293064114,"가락마을17,18단지",36.5195996,127.2349373,0.0,0.0,0.0,0.0,0.0
SJB293064140,고운동커뮤니티센터북측,36.5200092,127.2366895,0.0,0.0,0.0,0.0,0.0
SJB293064097,가락마을22단지,36.5200447,127.2405762,0.0,0.0,0.0,0.0,0.0
SJB293061007,범지기마을10단지,36.51879,127.25226,0.0,0.0,0.0,0.0,0.0
SJB293061006,아름초등학교,36.5147,127.25062,366417.0,328712.0,26058.0,0.19347586389582017,695129.0
SJB293061005,"범지기마을6,11단지",36.51045,127.2498,0.0,0.0,0.0,0.0,0.0
SJB293056035,"가재마을7,12단지",36.50648333,127.2496233,0.0,0.0,0.0,0.0,0.0
SJB293064139,"가재마을5,8단지",36.5009207,127.2497831,0.0,0.0,0.0,0.0,0.0
SJB293064262,"가온마을6,9단지",36.498607,127.24896,0.0,0.0,0.0,0.0,0.0
SJB293064264,다정동커뮤니티센터,36.494341,127.248799,0.0,0.0,0.0,0.0,0.0
SJB293064370,"가온마을4,7단지",36.4915533,127.2494805,0.0,0.0,0.0,0.0,0.0
SJB293064238,"새뜸마을7,10단지",36.4898819,127.2499045,0.0,0.0,0.0,0.0,0.0
SJB293064240,새롬동커뮤니티센터,36.4851331,127.2509413,412625.0,353171.0,59567.0,0.04669905384002293,765796.0
SJB293064242,"새뜸마을5,8단지",36.4823928,127.2532777,0.0,0.0,0.0,0.0,0.0
SJB293064003,첫마을4단지,36.48019,127.2516,0.0,0.0,0.0,0.0,0.0
SJB293064001,첫마을5단지,36.47762,127.24973,0.0,0.0,0.0,0.0,0.0
SJB293064006,첫마을6단지,36.47503,127.25326,0.0,0.0,0.0,0.0,0.0
SJB293064008,한솔중학교(첫마을7단지),36.47491,127.2557,0.0,0.0,0.0,0.0,0.0
SJB293064011,첫마을3단지,36.478,127.26135,0.0,0.0,0.0,0.0,0.0
